method,n,TP,TN,FP,FN,FPR,FNR,precision,recall,F1,accuracy
MiniRocket,239,85,132,8,14,0.0571,0.1414,0.914,0.8586,0.8854,0.9079
Threshold_50ms,239,99,1,139,0,0.9929,0.0,0.416,1.0,0.5875,0.4184
Threshold_100ms,239,96,55,85,3,0.6071,0.0303,0.5304,0.9697,0.6857,0.6318
Threshold_150ms,239,80,109,31,19,0.2214,0.1919,0.7207,0.8081,0.7619,0.7908
