method,n,TP,TN,FP,FN,FPR,FNR,precision,recall,F1,accuracy
MiniRocket,233,87,139,1,6,0.0071,0.0645,0.9886,0.9355,0.9613,0.97
Threshold_95g,233,93,124,16,0,0.1143,0.0,0.8532,1.0,0.9208,0.9313
Threshold_200g,233,92,131,9,1,0.0643,0.0108,0.9109,0.9892,0.9485,0.9571
Threshold_400g,233,83,135,5,10,0.0357,0.1075,0.9432,0.8925,0.9171,0.9356
