method,n,TP,TN,FP,FN,FPR,FNR,precision,recall,F1,accuracy
MiniRocket,239,91,138,2,8,0.0143,0.0808,0.9785,0.9192,0.9479,0.9582
Threshold_95g,239,95,124,16,4,0.1143,0.0404,0.8559,0.9596,0.9048,0.9163
Threshold_200g,239,92,131,9,7,0.0643,0.0707,0.9109,0.9293,0.92,0.9331
Threshold_400g,239,83,135,5,16,0.0357,0.1616,0.9432,0.8384,0.8877,0.9121
