configuration,description,n_channels,cv_accuracy,cv_auc,sensitivity,specificity,precision,f1_score,direct_accuracy,indirect_accuracy
higacc_only,High-acceleration only (3 channels),3,0.9341085271317829,0.986682808716707,0.923728813559322,0.9428571428571428,0.9316239316239316,0.9276595744680851,0.9857142857142858,0.9130434782608695
higacc_plus_pressure,High-acceleration + Pressure (4 channels),4,0.937984496124031,0.9858353510895883,0.8813559322033898,0.9857142857142858,0.9811320754716981,0.9285714285714285,0.9571428571428572,0.9130434782608695
full_suite,Full sensor suite (10 channels),10,0.9457364341085271,0.9892251815980629,0.9491525423728814,0.9428571428571428,0.9333333333333333,0.9411764705882353,0.9857142857142858,1.0
